movie_id,collection_id
42695,261057
18992,100992
29912,366444
7294,8385
2662,105625
36658,748
10708,228887
17464,92222
15259,92222
42792,431417
604,2344
1555,239766
33875,34055
310,124949
12,137697
9902,52985
584,9485
5921,431417
14676,383632
10152,96665
20694,57129
35669,123724
170,1565
9471,86029
10327,86024
296,528
22,295
8961,14890
9486,86117
24259,194752
1996,2467
12279,86486
21882,289531
24993,105322
4984,289531
8273,2806
9257,221111
33954,421566
6466,9735
10923,91427
9362,91799
936,937
12268,937
7504,7505
513,7505
11351,94899
2722,330892
11547,201576
1428,9649
10617,10457
10618,10457
10619,10457
8408,261590
277,2326
17614,409138
18113,201778
11475,187736
11806,168880
10438,168880
9871,11794
33258,124950
11059,117927
24,2883
9373,425175
4256,4246
10009,96472
10389,264335
3117,123720
897,158391
224,457305
27117,478628
50553,478628
44383,478628
605,2344
11846,96871
10147,423173
9556,45154
9065,208765
38939,115142
860,151263
8010,8050
951,397444
3176,16302
11824,43066
1594,937
11811,19285
9063,208765
255,185682
10028,144689
122,119
11007,114783
11429,98036
5205,245129
21779,157890
1954,52749
14114,353721
21301,176097
44539,194752
18841,158373
30566,201930
42466,201930
44674,194752
9838,135502
10677,86058
17047,91427
11024,86860
553,1952
1487,17235
11137,86334
11358,299748
2122,103577
923,261590
34082,135441
393,2883
10625,99606
7131,109608
22137,205977
10035,404111
20561,95051
667,645
700,645
36670,645
10940,10441
9356,9521
16113,126166
25508,272673
12310,87631
39907,159340
9545,14246
10916,10441
10921,10441
10941,10441
14589,47814
14594,47814
14590,47814
14588,47814
14595,47814
1583,478442
17653,122945
11069,91799
10829,91799
31952,123740
54396,308153
40810,48829
40812,48829
3075,123720
43096,145494
11506,286935
29455,286935
11602,286935
42632,185667
10775,58588
15618,349889
13282,434533
26268,434270
250,95891
19086,126166
15824,289288
11315,192532
5165,441439
19128,11140
33560,259398
15371,145901
27601,32135
17346,448468
809,2150
673,1241
2789,2794
8920,86115
11546,9338
17481,478628
27118,478628
9372,475802
44695,240690
31217,85473
38582,374509
9542,476054
24236,297143
10606,145784
6081,937
2330,211721
2334,211721
2202,280539
558,556
80,123800
8699,93791
11247,437451
36627,138163
2502,31562
12625,110021
43417,110021
20408,478628
18706,478628
34327,478628
20417,478628
35780,306882
25361,306882
25536,171586
11282,30663
11130,107674
395,115762
10762,146534
11026,12263
36912,330605
44415,424830
11237,105995
13559,374418
24924,136218
17994,168186
1577,17255
26230,263866
27816,104716
27815,104716
29445,208765
28153,256297
1970,1974
176,656
9806,468222
11249,10455
9801,8936
2059,52984
11836,275402
163,304
36648,735
33740,208602
74719,208602
77448,208602
28421,259401
27503,48802
43149,135495
27970,259027
23101,438087
23336,158365
28436,272673
9797,426985
31980,135441
4558,84923
43388,135508
30801,456980
11402,12077
31372,102452
31374,102452
31378,102452
34528,85473
34530,85473
21135,441439
17102,123724
11047,94039
9929,94039
29778,123724
29748,123724
70327,161766
9394,212525
34479,123724
40732,308465
18250,116847
33020,123724
12089,105764
41471,102128
17810,102128
9474,409026
25473,157504
24402,39438
16246,391040
28994,211860
19174,405256
9385,94039
28209,39438
10711,155474
43430,107473
47313,334563
5725,294834
38783,188458
10640,166698
5651,294834
16378,255702
1362,141290
33701,52835
14087,14095
1884,133830
27414,256296
17663,94035
8868,94039
29903,284111
14029,430201
10372,133830
67342,155421
9056,269098
9318,94039
10570,74083
11471,99635
22572,160468
49964,324149
30421,9046
18305,99635
14571,98435
20562,95051
18311,287016
1483,476066
34376,124951
29904,284111
83761,324149
34683,361140
47350,151861
25684,91945
18817,192167
16437,98853
17811,122945
12088,86341
30366,187736
35610,145784
12664,207952
32764,278467
26877,309259
18998,45154
11067,97771
35977,123256
26830,473943
12613,190435
37563,104068
27318,203178
16003,137913
8214,8385
2061,203910
74097,362047
36702,142717
17629,108043
9732,94032
10213,10924
12095,10924
1283,2248
22140,205977
344,344936
15805,421904
11508,11716
2487,149191
12485,98580
17074,404770
18491,96850
39927,355490
21348,338416
9011,9068
2332,211721
20882,107462
5458,52789
